GSIS_ID,PLAYER,TEAM,POS
00-0033773,Riley McCarron,NE,WR
00-0030216,Josh Hill,NO,TE
00-0031260,Logan Thomas,BUF,TE
00-0033953,Jordan Leggett,NYJ,TE
00-0032775,Demarcus Robinson,KC,WR
00-0028042,Luke Stocker,TEN,TE
00-0027985,Lance Kendricks,GB,TE
00-0031744,Matt LaCosse,DEN,TE
00-0029931,Zach Line,NO,FB
00-0034457,Josh Adams,PHI,RB
00-0028011,Stevan Ridley,PIT,RB
00-0033258,Darrell Daniels,SEA,TE
00-0033526,Samaje Perine,WAS,RB
00-0031060,De'Anthony Thomas,KC,WR
00-0033943,Josh Reynolds,LA,WR
00-0029848,Nick Williams,TEN,WR
00-0028116,Aldrick Robinson,MIN,WR
00-0032089,Brian Parker,DEN,TE
00-0031189,T.J. Jones,DET,WR
00-0034389,Dane Cruikshank,TEN,SY
00-0032112,J.J. Nelson,ARI,WR
00-0029738,Darren Fells,CLE,TE
00-0033094,Marvin Hall,ATL,WR
00-0032214,Tyler Kroft,CIN,TE
00-0033080,Seth DeValve,CLE,TE
00-0033464,Jehu Chesson,WAS,WR
00-0032450,Dwayne Washington,NO,RB
00-0033375,Tim Patrick,DEN,WR
00-0032371,Rob Kelley,WAS,RB
00-0034854,KhaDarel Hodge,LA,WR
00-0033955,Jeremy McNichols,IND,RB
00-0032593,Brandon Wilds,JAX,RB
00-0026153,Jonathan Stewart,NYG,RB
00-0032661,Ben Braunecker,CHI,TE
00-0030432,Christine Michael,IND,RB
00-0031609,A.J. Derby,MIA,TE
00-0034164,Trenton Cannon,NYJ,RB
00-0032430,David Morgan,MIN,TE
00-0029638,Michael Floyd,WAS,WR
00-0033054,Rico Gathers,DAL,TE
00-0030542,Terrance Williams,DAL,WR
00-0032508,Hakeem Valles,DET,TE
00-0033770,Justin Hardee,NO,CB
00-0033742,Tyrone Swoopes,SEA,TE
00-0029119,Derek Carrier,OAK,TE
00-0030968,Keith Smith,OAK,FB
00-0031687,Raheem Mostert,SF,RB
00-0034621,Shaun Wilson,TB,RB
00-0034208,Mike Boone,MIN,RB
00-0033573,Shelton Gibson,PHI,WR
00-0030780,Ryan Hewitt,IND,TE
00-0028903,Garrett Celek,SF,TE
00-0032166,Sammie Coates,HOU,WR
00-0033859,Josh Malone,CIN,WR
00-0034426,Javon Wims,CHI,WR
00-0032634,David Grinnage,JAX,TE
00-0033658,Blake Jarwin,DAL,TE
00-0031972,Darius Jennings,TEN,WR
00-0028097,Lee Smith,OAK,TE
00-0032975,Jonathan Williams,NO,RB
00-0032562,Cole Wick,SF,TE
00-0033374,Ricky Ortiz,ATL,RB
00-0029492,Jamize Olawale,DAL,FB
00-0027873,Jermaine Gresham,ARI,TE
00-0034286,Richie James,SF,WR
00-0033119,Jacoby Brissett,IND,QB
00-0031167,Scott Simonson,NYG,TE
00-0025580,Mason Crosby,GB,KI
00-0032956,Andy Janovich,DEN,FB
00-0030422,Dion Sims,CHI,TE
00-0032383,Ryan Kelly,IND,OC
00-0033387,Jacob Hollister,NE,TE
00-0028114,Dwayne Harris,OAK,WR
00-0027215,Logan Paulsen,ATL,TE
00-0031035,Xavier Grimble,PIT,TE
00-0029795,Benny Cunningham,CHI,RB
